06.06.2025                                                                                                    Dynamic List Display                                                                                                                                                             1


	/BIC/MD_RS	OBJVERS	CHANGED	/BIC/MD_RS_NK	/BIC/MD_PH	/BIC/MD_RS_TP	/BIC/MD_RS_EN	/BIC/MD_RS_OF	/BIC/MD_RS_FY	/BIC/MD_RS_LY	/BIC/MD_RS_PL	/BIC/MD_AD	/BIC/MD_RS_AS	/BIC/MD_RS_BN	/BIC/MD_RS_PT	/BIC/MD_RS_PA	/BIC/MD_RS_AR	/BIC/MD_RS_YO
	      0265	A		AW00000265	1 (11) 500 555-0199	SPECIALTY BIKE SHOP	          47	A	         2006	         2007	MOUNTAIN	39, ROUTE DE MARSEILLE	   1.500.000	GUARDIAN BANK	           00	           0	     150.000	         1990
	      0266	A		AW00000266	1 (11) 500 555-0129	WAREHOUSE	          81	Q	         2007	         2008	TOURING	HANS-ROSENTHAL-PLATZ 4223	   3.000.000	RESERVE SECURITY	           01	           0	     300.000	         1996
	      0267	A		AW00000267	1 (11) 500 555-0179	VALUE ADDED RESELLER	          10	S	         2007	         2008	TOURING	LEVEL 99	     800.000	INTERNATIONAL BANK	           02	           0	      80.000	         1989
	      0268	A		AW00000268	1 (11) 500 555-0138	SPECIALTY BIKE SHOP	          46	A	         2007	         2008	TOURING	KNAVES BEECH IND.	   1.500.000	INTERNATIONAL SECURITY	           03	         600	     150.000	         1995
	      0269	A		AW00000269	131-555-0171	WAREHOUSE	          82	Q	         2005	         2007	ROAD	25264 E. 260TH	   3.000.000	PRIMARY INTERNATIONAL	           00	           0	     300.000	         1988
	      0270	A		AW00000270	526-555-0155	VALUE ADDED RESELLER	           9	S	         2005	         2008	ROAD	225200 MILES AVE.	     300.000	UNITED SECURITY	           01	           0	      30.000	         1994
	      0271	A		AW00000271	164-555-0147	SPECIALTY BIKE SHOP	          45	A	         2005	         2006	ROAD	3307 EVERGREEN BLVD	   1.500.000	PRIMARY BANK & RESERVE	           02	           0	     150.000	         1987
	      0272	A		AW00000272	635-555-0126	WAREHOUSE	          83	Q	         2005	         2008	MOUNTAIN	2507 PACIFIC AVE S	   3.000.000	GUARDIAN BANK	           03	         600	     300.000	         1993
	      0273	A		AW00000273	686-555-0180	VALUE ADDED RESELLER	           8	S	         2005	         2006	ROAD	ONE DANCING, RR NO. 25	     300.000	RESERVE SECURITY	           03	         200	      30.000	         1986
	      0274	A		AW00000274	521-555-0183	SPECIALTY BIKE SHOP	          44	A	         2006	         2007	ROAD	9995 WEST CENTRAL ENTRANCE	   1.500.000	INTERNATIONAL BANK	           02	           0	     150.000	         1992
	      0275	A		AW00000275	118-555-0131	WAREHOUSE	          84	Q	         2007	         2008	TOURING	LAKEWOOD MALL	   3.000.000	INTERNATIONAL SECURITY	           01	           0	     300.000	         1985
	      0276	A		AW00000276	308-555-0175	VALUE ADDED RESELLER	           7	S	         2007	         2008	ROAD	OXNARD OUTLET	     300.000	PRIMARY INTERNATIONAL	           00	           0	      30.000	         1991
	      0277	A		AW00000277	583-555-0198	SPECIALTY BIKE SHOP	          43	A	         2006	         2008	ROAD	VISTA MARKETPLACE	   1.500.000	UNITED SECURITY	           01	           0	     150.000	         1984
	      0278	A		AW00000278	965-555-0112	WAREHOUSE	          85	Q	         2005	         2006	MOUNTAIN	25631 FLORIDA MALL AVE.	   3.000.000	PRIMARY BANK & RESERVE	           02	           0	     300.000	         1990
	      0279	A		AW00000279	793-555-0146	VALUE ADDED RESELLER	           6	S	         2005	         2006	MOUNTAIN	770 SOUTH POINT DR	     300.000	GUARDIAN BANK	           03	         600	      30.000	         1983
	      0280	A		AW00000280	692-555-0136	SPECIALTY BIKE SHOP	          42	A	         2006	         2008	MOUNTAIN	9979 BAYVIEW DRIVE	   1.500.000	RESERVE SECURITY	           00	           0	     150.000	         1989
	      0281	A		AW00000281	990-555-0141	WAREHOUSE	          86	Q	         2007	         2008	TOURING	20225 LANSING AVE	   3.000.000	INTERNATIONAL BANK	           01	           0	     300.000	         1982
	      0282	A		AW00000282	882-555-0115	VALUE ADDED RESELLER	           5	S	         2007	         2008	TOURING	99954 BOUL. LAURIER, LOCAL 060, PLACE	     300.000	INTERNATIONAL SECURITY	           02	           0	      30.000	         1988
	      0283	A		AW00000283	1 (11) 500 555-0112	SPECIALTY BIKE SHOP	          41	A	         2007	         2008	TOURING	57, RUE DES VENDANGEURS	   1.500.000	PRIMARY INTERNATIONAL	           03	         600	     150.000	         1981
	      0284	A		AW00000284	1 (11) 500 555-0148	WAREHOUSE	          87	Q	         2007	         2008	ROAD	NONNENDAMM 63	   3.000.000	UNITED SECURITY	           03	       1.000	     300.000	         1987
	      0285	A		AW00000285	1 (11) 500 555-0151	VALUE ADDED RESELLER	           4	S	         2007	         2008	TOURING	CTRCRT BUS PK/995-27 PAUL ST N	     300.000	PRIMARY BANK & RESERVE	           02	           0	      30.000	         1980
	      0286	A		AW00000286	1 (11) 500 555-0169	SPECIALTY BIKE SHOP	          40	A	         2006	         2008	ROAD	ELMHURST ROAD, GORING	   1.500.000	GUARDIAN BANK	           01	           0	     150.000	         1986
	      0287	A		AW00000287	859-555-0173	WAREHOUSE	          88	Q	         2005	         2008	MOUNTAIN	399700 JOHN R. RD.	   3.000.000	RESERVE SECURITY	           00	           0	     300.000	         1979
	      0288	A		AW00000288	241-555-0112	VALUE ADDED RESELLER	           3	S	         2006	         2007	MOUNTAIN	6789 WARREN ROAD	     300.000	INTERNATIONAL BANK	           01	           0	      30.000	         1985
	      0289	A		AW00000289	763-555-0145	SPECIALTY BIKE SHOP	          39	A	         2005	         2008	MOUNTAIN	67 RAINER AVE S	   1.500.000	INTERNATIONAL SECURITY	           02	           0	     150.000	         1978
	      0290	A		AW00000290	119-555-0167	WAREHOUSE	          89	Q	         2006	         2008	ROAD	750 LAKEWAY DR	   3.000.000	PRIMARY INTERNATIONAL	           03	         600	     300.000	         1984
	      0291	A		AW00000291	640-555-0189	VALUE ADDED RESELLER	           2	S	         2006	         2008	MOUNTAIN	48255 I-10 E. @ EASTPOINT BLVD.	     300.000	UNITED SECURITY	           00	           0	      30.000	         1977
	      0292	A		AW00000292	126-555-0172	SPECIALTY BIKE SHOP	          38	A	         2005	         2008	ROAD	9903 HIGHWAY 6 SOUTH	   1.500.000	PRIMARY BANK & RESERVE	           01	           0	     150.000	         1983
	      0293	A		AW00000293	115-555-0113	WAREHOUSE	          90	Q	         2005	         2008	MOUNTAIN	SPORTS STORE AT PARK CITY	   3.000.000	GUARDIAN BANK	           02	           0	     300.000	         1976
	      0294	A		AW00000294	780-555-0114	VALUE ADDED RESELLER	           4	S	         0000	         0000	ROAD	NORTH COUNTY SQUARE	     300.000	RESERVE SECURITY	           03	         600	      30.000	         1982
	      0295	A		AW00000295	129-555-0164	SPECIALTY BIKE SHOP	          37	A	         2007	         2008	TOURING	123 CAMELIA AVENUE	   1.500.000	INTERNATIONAL BANK	           03	         600	     150.000	         1975
	      0296	A		AW00000296	937-555-0136	WAREHOUSE	          91	Q	         2006	         2008	MOUNTAIN	7725 LUDDINGTON LANE	   3.000.000	INTERNATIONAL SECURITY	           02	           0	     300.000	         1981
	      0297	A		AW00000297	790-555-0112	VALUE ADDED RESELLER	           6	S	         2007	         2008	TOURING	790 SHELBYVILLE ROAD	     300.000	PRIMARY INTERNATIONAL	           01	           0	      30.000	         1974
	      0298	A		AW00000298	239-555-0198	SPECIALTY BIKE SHOP	          36	A	         0000	         0000	ROAD	6TH FLOOR 5250 MAIN STREET	   1.500.000	UNITED SECURITY	           00	           0	     150.000	         1980
	      0299	A		AW00000299	680-555-0192	WAREHOUSE	          92	Q	         2006	         2008	ROAD	BOX 99354 300 UNION STREET	   3.000.000	PRIMARY BANK & RESERVE	           01	           0	     300.000	         1991
	      0300	A		AW00000300	221-555-0167	VALUE ADDED RESELLER	           8	S	         2006	         2007	ROAD	SUITE 800 2530 SLATER STREET	     300.000	GUARDIAN BANK	           02	           0	      30.000	         1979
	      0301	A		AW00000301	1 (11) 500 555-0183	SPECIALTY BIKE SHOP	          35	A	         2006	         2008	ROAD	98, RUE MONTCALM	   1.500.000	RESERVE SECURITY	           03	         600	     150.000	         1992
	      0302	A		AW00000302	1 (11) 500 555-0178	WAREHOUSE	          93	Q	         2007	         2008	TOURING	BERLINER PLATZ 45	   3.000.000	INTERNATIONAL BANK	           00	           0	     300.000	         1978
	      0303	A		AW00000303	1 (11) 500 555-0187	VALUE ADDED RESELLER	          10	S	         2007	         2008	TOURING	2501 MILLER STREET	     800.000	INTERNATIONAL SECURITY	           01	           0	      80.000	         1974
	      0304	A		AW00000304	1 (11) 500 555-0182	SPECIALTY BIKE SHOP	          34	A	         2007	         2008	ROAD	NEW MILLHOUSE, 2583 MILTON PARK	   1.500.000	PRIMARY INTERNATIONAL	           02	           0	     150.000	         1976
	      0305	A		AW00000305	219-555-0126	WAREHOUSE	          94	Q	         2007	         2008	TOURING	42500 SOUTH FRANKLIN STREET	   3.000.000	UNITED SECURITY	           03	         600	     300.000	         1978
	      0306	A		AW00000306	818-555-0171	VALUE ADDED RESELLER	          12	S	         2006	         2008	ROAD	2533 EUREKA RD.	     800.000	PRIMARY BANK & RESERVE	           03	         200	      80.000	         1980
	      0307	A		AW00000307	992-555-0134	SPECIALTY BIKE SHOP	          33	A	         2007	         2008	MOUNTAIN	2528 MERIDIAN E	   1.500.000	GUARDIAN BANK	           02	           0	     150.000	         1982
	      0308	A		AW00000308	839-555-0198	WAREHOUSE	          95	Q	         2007	         2008	TOURING	48995 EVERGREEN WY.	   3.000.000	RESERVE SECURITY	           01	           0	     300.000	         1984
	      0309	A		AW00000309	149-555-0113	VALUE ADDED RESELLER	          14	S	         2005	         2008	MOUNTAIN	2345 NORTH FREEWAY	     800.000	INTERNATIONAL BANK	           00	           0	      80.000	         1986
	      0310	A		AW00000310	118-555-0184	SPECIALTY BIKE SHOP	          32	A	         2006	         2008	ROAD	123 W. LAKE AVE.	   1.500.000	INTERNATIONAL SECURITY	           01	           0	     150.000	         1988
	      0311	A		AW00000311	551-555-0155	WAREHOUSE	          96	Q	         2006	         2008	ROAD	MOUNTAIN SQUARE	   3.000.000	PRIMARY INTERNATIONAL	           02	           0	     300.000	         1990
	      0312	A		AW00000312	226-555-0146	VALUE ADDED RESELLER	          16	S	         2005	         2008	MOUNTAIN	FOX HILLS	     800.000	UNITED SECURITY	           03	         600	      80.000	         1992
	      0313	A		AW00000313	140-555-0192	SPECIALTY BIKE SHOP	          31	A	         2005	         2008	ROAD	PARKWAY PLAZA	   1.500.000	PRIMARY BANK & RESERVE	           00	           0	     150.000	         1994
	      0314	A		AW00000314	188-555-0152	WAREHOUSE	          97	Q	         2006	         2006	MOUNTAIN	4496 BARNES CROSSING RD.	   3.000.000	GUARDIAN BANK	           01	           0	     300.000	         1996
	      0315	A		AW00000315	843-555-0175	VALUE ADDED RESELLER	          18	S	         2005	         2007	MOUNTAIN	78025 E. MERCY ISLAND CSWY	     800.000	RESERVE SECURITY	           02	           0	      80.000	         1998
	      0316	A		AW00000316	207-555-0167	SPECIALTY BIKE SHOP	          30	A	         2007	         2008	MOUNTAIN	SUITE 500 995 W. 11TH AVENUE	   1.500.000	INTERNATIONAL BANK	           03	         600	     150.000	         2000
	      0317	A		AW00000317	767-555-0151	WAREHOUSE	          98	Q	         2005	         2008	ROAD	#9900 2700 PRODUCTION WAY	   3.000.000	INTERNATIONAL SECURITY	           03	       1.000	     300.000	         2002
	      0318	A		AW00000318	277-555-0169	VALUE ADDED RESELLER	          20	S	         2005	         2006	ROAD	25537 HILLSIDE AVENUE	   1.000.000	PRIMARY INTERNATIONAL	           02	           0	     100.000	         2004
	      0319	A		AW00000319	1 (11) 500 555-0181	SPECIALTY BIKE SHOP	          29	A	         2007	         2008	TOURING	3387, RUE MARBEUF	   1.000.000	UNITED SECURITY	           01	           0	     100.000	         2005
	      0320	A		AW00000320	1 (11) 500 555-0146	WAREHOUSE	          99	Q	         2007	         2008	TOURING	BRUNNENSTR 422	   3.000.000	PRIMARY BANK & RESERVE	           00	           0	     300.000	         2003
	      0321	A		AW00000321	1 (11) 500 555-0140	VALUE ADDED RESELLER	          19	S	         2007	         2008	ROAD	6 LORD STREET	     800.000	GUARDIAN BANK	           01	           0	      80.000	         2004
	      0322	A		AW00000322	1 (11) 500 555-0176	SPECIALTY BIKE SHOP	          28	A	         2006	         2008	MOUNTAIN	WYMBUSH	   1.000.000	RESERVE SECURITY	           02	           0	     100.000	         1975
	      0323	A		AW00000323	689-555-0130	WAREHOUSE	         100	Q	         2006	         2008	MOUNTAIN	250000 EIGHT MILE ROAD	   3.000.000	INTERNATIONAL BANK	           03	         600	     300.000	         2003
	      0324	A		AW00000324	842-555-0125	VALUE ADDED RESELLER	          18	S	         0000	         0000	TOURING	6405 ERIE BLVD. HILLS PLAZA	     800.000	INTERNATIONAL SECURITY	           00	           0	      80.000	         1979
	      0325	A		AW00000325	918-555-0127	SPECIALTY BIKE SHOP	          27	A	         2006	         2008	MOUNTAIN	25111 228TH ST SW	   1.000.000	PRIMARY INTERNATIONAL	           01	           0	     100.000	         2002
	      0326	A		AW00000326	164-555-0145	WAREHOUSE	          66	Q	         2005	         2006	MOUNTAIN	2583 SE 272ND ST	   3.000.000	UNITED SECURITY	           02	           0	     300.000	         1983
	      0327	A		AW00000327	695-555-0158	VALUE ADDED RESELLER	          17	S	         2006	         2008	MOUNTAIN	660 LINDBERGH	     800.000	PRIMARY BANK & RESERVE	           03	         600	      80.000	         2001
	      0328	A		AW00000328	560-555-0171	VALUE ADDED RESELLER	           2	S	         2005	         2008	ROAD	72540 BLANCO RD.	     300.000	GUARDIAN BANK	           03	         200	      30.000	         1974
	      0329	A		AW00000329	795-555-0116	SPECIALTY BIKE SHOP	          10	A	         0000	         0000	TOURING	STONEWOOD MALL	     800.000	RESERVE SECURITY	           02	           0	      80.000	         1976
	      0330	A		AW00000330	637-555-0120	WAREHOUSE	          40	Q	         2005	         2007	ROAD	HANFORD MALL	   1.500.000	INTERNATIONAL BANK	           01	           0	     150.000	         1978
	      0331	A		AW00000331	433-555-0168	VALUE ADDED RESELLER	           5	S	         2007	         2008	TOURING	ONTARIO MILLS	     300.000	INTERNATIONAL SECURITY	           00	           0	      30.000	         1980
	      0332	A		AW00000332	144-555-0175	SPECIALTY BIKE SHOP	          13	A	         0000	         0000	MOUNTAIN	574 ATLANTA HIGHWAY	     800.000	PRIMARY INTERNATIONAL	           01	           0	      80.000	         1982
	      0333	A		AW00000333	621-555-0157	WAREHOUSE	          43	Q	         0000	         0000	MOUNTAIN	5230A HWY. 2553	   1.500.000	UNITED SECURITY	           02	           0	     150.000	         1984
	      0334	A		AW00000334	155-555-0140	VALUE ADDED RESELLER	           8	S	         2006	         2008	ROAD	SUITE 2502 410 ALBERT STREET	     300.000	PRIMARY BANK & RESERVE	           03	         600	      30.000	         1986
	      0335	A		AW00000335	156-555-0111	SPECIALTY BIKE SHOP	          16	A	         2005	         2007	MOUNTAIN	5700 EXPLORER DRIVE	     800.000	GUARDIAN BANK	           00	           0	      80.000	         1988
	      0336	A		AW00000336	495-555-0161	WAREHOUSE	          46	Q	         2005	         2008	ROAD	965 DE LA GAUCHETIERE WEST	   1.500.000	RESERVE SECURITY	           01	           0	     150.000	         1990
	      0337	A		AW00000337	1 (11) 500 555-0116	VALUE ADDED RESELLER	          11	S	         2006	         2008	MOUNTAIN	39, AVENUE DES LAURENTIDES	     800.000	INTERNATIONAL BANK	           02	           0	      80.000	         1992
	      0338	A		AW00000338	1 (11) 500 555-0136	SPECIALTY BIKE SHOP	          19	A	         2007	         2007	TOURING	ROTTH?USER WEG 511	     800.000	INTERNATIONAL SECURITY	           03	         600	      80.000	         1994
	      0339	A		AW00000339	1 (11) 500 555-0180	WAREHOUSE	          49	Q	         2007	         2007	TOURING	LEVEL 6	   1.500.000	PRIMARY INTERNATIONAL	           03	       1.000	     150.000	         1996
	      0340	A		AW00000340	1 (11) 500 555-0195	VALUE ADDED RESELLER	          14	S	         2006	         2008	MOUNTAIN	BURGESS HILL	     800.000	UNITED SECURITY	           02	           0	      80.000	         1998
	      0341	A		AW00000341	710-555-0116	SPECIALTY BIKE SHOP	          22	A	         0000	         0000	ROAD	GREAT NORTHERN MALL HWY4 & RT. 31	   1.000.000	PRIMARY BANK & RESERVE	           01	           0	     100.000	         2000
	      0342	A		AW00000342	433-555-0162	WAREHOUSE	          52	Q	         2005	         2006	ROAD	250 E. COUNTY LINE RD.	   3.000.000	GUARDIAN BANK	           00	           0	     300.000	         2002
	      0343	A		AW00000343	490-555-0132	VALUE ADDED RESELLER	          17	S	         2006	         2008	ROAD	409 S. MAIN STE. 25	     800.000	RESERVE SECURITY	           01	           0	      80.000	         2004
	      0344	A		AW00000344	652-555-0132	SPECIALTY BIKE SHOP	          25	A	         2005	         2008	ROAD	2502 EVERGREEN STE E	   1.000.000	INTERNATIONAL BANK	           02	           0	     100.000	         2005
	      0345	A		AW00000345	121-555-0139	WAREHOUSE	          55	Q	         2006	         2008	MOUNTAIN	99450 HIGHWAY 59 NORTH	   3.000.000	INTERNATIONAL SECURITY	           03	         600	     300.000	         2003
	      0346	A		AW00000346	810-555-0160	VALUE ADDED RESELLER	          20	S	         2005	         2006	MOUNTAIN	455 256TH ST.	   1.000.000	PRIMARY INTERNATIONAL	           00	           0	     100.000	         2004
	      0347	A		AW00000347	857-555-0187	SPECIALTY BIKE SHOP	          28	A	         0000	         0000	MOUNTAIN	NUT TREE FACTORY	   1.000.000	UNITED SECURITY	           01	           0	     100.000	         1975
	      0348	A		AW00000348	855-555-0174	WAREHOUSE	          58	Q	         2005	         2008	MOUNTAIN	ROCKY MOUNTAIN PINES OUTLET	   3.000.000	PRIMARY BANK & RESERVE	           02	           0	     300.000	         2003
	      0349	A		AW00000349	112-555-0176	VALUE ADDED RESELLER	          19	S	         2006	         2007	MOUNTAIN	STEVENS CREEK SHOPPING CENTER	     800.000	GUARDIAN BANK	           03	         600	      80.000	         1979
	      0350	A		AW00000350	756-555-0117	SPECIALTY BIKE SHOP	          31	A	         2006	         2006	MOUNTAIN	25800 GALLITIN RD.	   1.500.000	RESERVE SECURITY	           03	         600	     150.000	         2002
	      0351	A		AW00000351	178-555-0129	WAREHOUSE	          61	Q	         2007	         2008	TOURING	830 HIGHWAY 499 SO	   3.000.000	INTERNATIONAL BANK	           02	           0	     300.000	         1983
	      0352	A		AW00000352	155-555-0149	VALUE ADDED RESELLER	          18	S	         2006	         2008	MOUNTAIN	NO. 25400 10665 JASPER AVENUE	     800.000	INTERNATIONAL SECURITY	           01	           0	      80.000	         2001
	      0353	A		AW00000353	700-555-0155	SPECIALTY BIKE SHOP	          34	A	         2005	         2008	MOUNTAIN	P.O. BOX 44000	   1.500.000	PRIMARY INTERNATIONAL	           00	           0	     150.000	         1987
	      0354	A		AW00000354	614-555-0134	WAREHOUSE	          64	Q	         2005	         2007	MOUNTAIN	SUITE 99320 255 - 510TH AVENUE S.W.	   3.000.000	UNITED SECURITY	           01	           0	     300.000	         2000
	      0355	A		AW00000355	1 (11) 500 555-0165	VALUE ADDED RESELLER	          17	S	         2006	         2008	MOUNTAIN	3101, AVENUE DE MALAKOFF	     800.000	PRIMARY BANK & RESERVE	           02	           0	      80.000	         1991
	      0356	A		AW00000356	1 (11) 500 555-0190	SPECIALTY BIKE SHOP	          37	A	         0000	         0000	ROAD	AM KARLSHOF 8200	   1.500.000	GUARDIAN BANK	           03	         600	     150.000	         1999
	      0357	A		AW00000357	1 (11) 500 555-0181	WAREHOUSE	          67	Q	         2007	         2008	TOURING	P.O. BOX 990032	   3.000.000	RESERVE SECURITY	           00	           0	     300.000	         1995
	      0358	A		AW00000358	1 (11) 500 555-0144	VALUE ADDED RESELLER	          16	S	         2007	         2008	TOURING	308-3250 CASTING ROAD	     800.000	INTERNATIONAL BANK	           01	           0	      80.000	         1998
	      0359	A		AW00000359	377-555-0158	SPECIALTY BIKE SHOP	          40	A	         2006	         2008	ROAD	6225 GLENWAY AVE.	   1.500.000	INTERNATIONAL SECURITY	           02	           0	     150.000	         1999
	      0360	A		AW00000360	327-555-0148	WAREHOUSE	          70	Q	         2007	         2008	TOURING	998 FOREST ROAD	   3.000.000	PRIMARY INTERNATIONAL	           03	         600	     300.000	         1997
	      0361	A		AW00000361	390-555-0150	VALUE ADDED RESELLER	          15	S	         2007	         2008	TOURING	755 W WASHINGTON AVE STE D	     800.000	UNITED SECURITY	           03	         200	      80.000	         2003
	      0362	A		AW00000362	889-555-0176	SPECIALTY BIKE SHOP	          43	A	         0000	         0000	ROAD	44606 N DIVISION ST	   1.500.000	PRIMARY BANK & RESERVE	           02	           0	     150.000	         1996
	      0363	A		AW00000363	556-555-0145	WAREHOUSE	          73	Q	         2007	         2008	TOURING	70 N.W. PLAZA	   3.000.000	GUARDIAN BANK	           01	           0	     300.000	         2002
	      0364	A		AW00000364	249-555-0179	VALUE ADDED RESELLER	          14	S	         2005	         2006	ROAD	25095 W. FLORISSANT	     800.000	RESERVE SECURITY	           00	           0	      80.000	         1995
	      0365	A		AW00000365	539-555-0182	SPECIALTY BIKE SHOP	          46	A	         2005	         2006	ROAD	FACTORY MERCHANTS	   1.500.000	INTERNATIONAL BANK	           01	           0	     150.000	         2001
	      0366	A		AW00000366	129-555-0110	WAREHOUSE	          76	Q	         2005	         2006	MOUNTAIN	THE CITADEL COMMERCE PLAZA	   3.000.000	INTERNATIONAL SECURITY	           02	           0	     300.000	         1994
	      0367	A		AW00000367	145-555-0166	VALUE ADDED RESELLER	          13	S	         0000	         0000	ROAD	UNIVERSITY TOWN CENTER	     800.000	PRIMARY INTERNATIONAL	           03	         600	      80.000	         2000
	      0368	A		AW00000368	945-555-0112	SPECIALTY BIKE SHOP	          49	A	         2005	         2008	MOUNTAIN	99842 WHITE MILL EAST	   1.500.000	UNITED SECURITY	           00	           0	     150.000	         1993
	      0369	A		AW00000369	922-555-0193	WAREHOUSE	          79	Q	         2005	         2008	MOUNTAIN	TURFWAY RETAIL CENTER	   3.000.000	PRIMARY BANK & RESERVE	           01	           0	     300.000	         1999
	      0370	A		AW00000370	656-555-0173	VALUE ADDED RESELLER	          12	S	         2005	         2006	ROAD	6400, 888 - 3RD AVENUE	     800.000	GUARDIAN BANK	           02	           0	      80.000	         1992
	      0371	A		AW00000371	140-555-0143	SPECIALTY BIKE SHOP	          48	A	         0000	         0000	ROAD	255117 - 101 AVENUE	   1.500.000	RESERVE SECURITY	           03	         600	     150.000	         1998
	      0372	A		AW00000372	421-555-0192	WAREHOUSE	          80	Q	         2007	         2008	TOURING	975 PRINCESS STREET	   3.000.000	INTERNATIONAL BANK	           03	       1.000	     300.000	         1991
	      0373	A		AW00000373	1 (11) 500 555-0132	VALUE ADDED RESELLER	          11	S	         0000	         0000	ROAD	61, RUE HENRI GAGNON	     800.000	INTERNATIONAL SECURITY	           02	           0	      80.000	         1997
	      0374	A		AW00000374	1 (11) 500 555-0147	SPECIALTY BIKE SHOP	          47	A	         0000	         0000	TOURING	HOLZSTR 6444	   1.500.000	PRIMARY INTERNATIONAL	           01	           0	     150.000	         1990
	      0375	A		AW00000375	1 (11) 500 555-0181	WAREHOUSE	          81	Q	         0000	         0000	ROAD	P O BOX 72569	   3.000.000	UNITED SECURITY	           00	           0	     300.000	         1996
	      0376	A		AW00000376	1 (11) 500 555-0146	VALUE ADDED RESELLER	          10	S	         2006	         2008	MOUNTAIN	WHARFDALE ROAD	     800.000	PRIMARY BANK & RESERVE	           01	           0	      80.000	         1989
	      0377	A		AW00000377	941-555-0155	SPECIALTY BIKE SHOP	          46	A	         2006	         2008	ROAD	99800 TITTABAWASEE RD.	   1.500.000	GUARDIAN BANK	           02	           0	     150.000	         1995
	      0378	A		AW00000378	238-555-0163	WAREHOUSE	          82	Q	         2007	         2008	MOUNTAIN	25192 PRINCETON RD.	   3.000.000	RESERVE SECURITY	           03	         600	     300.000	         1988
	      0379	A		AW00000379	275-555-0179	VALUE ADDED RESELLER	           9	S	         2006	         2008	ROAD	2550 NE SANDY BLVD	     300.000	INTERNATIONAL BANK	           00	           0	      30.000	         1994
	      0380	A		AW00000380	542-555-0164	SPECIALTY BIKE SHOP	          45	A	         2006	         2008	MOUNTAIN	2540 DELL RANGE BLVD	   1.500.000	INTERNATIONAL SECURITY	           01	           0	     150.000	         1987
	      0381	A		AW00000381	145-555-0194	WAREHOUSE	          83	Q	         2006	         2008	MOUNTAIN	6996 SOUTH LINDBERGH	   3.000.000	PRIMARY INTERNATIONAL	           02	           0	     300.000	         1993
	      0382	A		AW00000382	510-555-0123	VALUE ADDED RESELLER	           8	S	         2006	         2008	ROAD	6425 NW LOOP 410	     300.000	UNITED SECURITY	           03	         600	      30.000	         1986
	      0383	A		AW00000383	773-555-0182	SPECIALTY BIKE SHOP	          44	A	         2005	         2008	ROAD	PAVILLION @ REDLANDS	   1.500.000	PRIMARY BANK & RESERVE	           03	         600	     150.000	         1992
	      0384	A		AW00000384	787-555-0128	WAREHOUSE	          84	Q	         2005	         2006	MOUNTAIN	SAN DIEGO FACTORY	   3.000.000	GUARDIAN BANK	           02	           0	     300.000	         1985
	      0385	A		AW00000385	330-555-0116	VALUE ADDED RESELLER	           7	S	         2005	         2008	MOUNTAIN	PACIFIC WEST OUTLET	     300.000	RESERVE SECURITY	           01	           0	      30.000	         1991
	      0386	A		AW00000386	884-555-0193	SPECIALTY BIKE SHOP	          43	A	         2005	         2007	ROAD	25 MYRTLE BEACH	   1.500.000	INTERNATIONAL BANK	           00	           0	     150.000	         1984
	      0387	A		AW00000387	825-555-0187	WAREHOUSE	          85	Q	         2006	         2008	ROAD	PARKWAY CITY MALL	   3.000.000	INTERNATIONAL SECURITY	           01	           0	     300.000	         1990
	      0388	A		AW00000388	112-555-0195	VALUE ADDED RESELLER	           6	S	         2006	         2007	MOUNTAIN	2900 - 25055 DUNNING STREET	     300.000	PRIMARY INTERNATIONAL	           02	           0	      30.000	         1983
	      0389	A		AW00000389	428-555-0176	SPECIALTY BIKE SHOP	          42	A	         2005	         2007	MOUNTAIN	SUITE 25800 3401 - 10810TH AVENUE	   1.500.000	UNITED SECURITY	           03	         600	     150.000	         1989
	      0390	A		AW00000390	204-555-0189	WAREHOUSE	          86	Q	         2005	         2008	MOUNTAIN	750 PHILIP STREET	   3.000.000	PRIMARY BANK & RESERVE	           00	           0	     300.000	         1982
	      0391	A		AW00000391	1 (11) 500 555-0115	VALUE ADDED RESELLER	           5	S	         2007	         2008	ROAD	9005, RUE DES BOUCHERS	     300.000	GUARDIAN BANK	           01	           0	      30.000	         1988
	      0392	A		AW00000392	1 (11) 500 555-0133	SPECIALTY BIKE SHOP	          41	A	         2007	         2008	ROAD	AM GROSSEN DERN 982	   1.500.000	RESERVE SECURITY	           02	           0	     150.000	         1981
	      0393	A		AW00000393	1 (11) 500 555-0155	WAREHOUSE	          87	Q	         2007	         2008	TOURING	2ND FLOOR	   3.000.000	INTERNATIONAL BANK	           03	         600	     300.000	         1987
	      0394	A		AW00000394	1 (11) 500 555-0116	VALUE ADDED RESELLER	           4	S	         0000	         0000	TOURING	7 PIONEER BUSINESS PARK	     300.000	INTERNATIONAL SECURITY	           03	         200	      30.000	         1980
	      0395	A		AW00000395	249-555-0172	SPECIALTY BIKE SHOP	          40	A	         2006	         2007	MOUNTAIN	678 EASTMAN AVE.	   1.500.000	PRIMARY INTERNATIONAL	           00	           0	     150.000	         1986
	      0396	A		AW00000396	214-555-0170	WAREHOUSE	          88	Q	         2006	         2008	MOUNTAIN	NEW CASTLE PLAZA	   3.000.000	UNITED SECURITY	           01	           0	     300.000	         1979
